"id","case_","utm.easting","utm.northing","location-long","location-lat","timestamp","LandClass","Elevation","PopDens","landC","elev","popD","used"
74,1,590135.819881553,4732942.92085429,-73.8987239,42.7437107,2011-02-11 18:06:13,"50",110.851893460871,89.5417882601067,"forest",-0.672666919845091,-0.388030516122262,"used"
74,1,590132.913065839,4732941.09480083,-73.8987597,42.7436946,2011-02-11 18:06:13,"50",110.654335555248,89.875430299272,"forest",-0.674132959821786,-0.386950434158533,"used"
74,1,590137.252347826,4732947.94852452,-73.8987056,42.7437558,2011-02-11 18:06:13,"50",110.594062540792,89.0484274409154,"forest",-0.674580234500217,-0.389627647358338,"used"
74,1,590133.541694526,4732943.73521602,-73.8987516,42.7437183,2011-02-11 18:06:13,"50",110.520242668868,89.6253370888336,"forest",-0.675128037854244,-0.387760047858657,"used"
74,1,590149.960057696,4732913.22917811,-73.8985559,42.7434417,2011-02-11 18:06:13,"50",110.375320000097,91.0182038016793,"forest",-0.676203481660343,-0.383250993129864,"used"
74,1,590142.737230062,4732942.28919481,-73.8986395,42.7437042,2011-02-11 18:06:13,"50",111.722289263957,89.1427312578327,"forest",-0.666207876665583,-0.389322362532667,"used"
74,1,590143.57236461,4732942.27787911,-73.8986293,42.743704,2011-02-11 18:06:13,"50",111.822256512032,89.0894064534033,"forest",-0.665466038562079,-0.389494988139523,"used"
74,1,590134.225301811,4732944.04400744,-73.8987432,42.743721,2011-02-11 18:06:13,"50",110.574755712026,89.5563449995713,"forest",-0.674723506837025,-0.387983392349174,"used"
74,1,590136.788665615,4732935.80319418,-73.8987132,42.7436465,2011-02-11 18:06:13,"50",111.562062048017,90.0450396625203,"forest",-0.667396892631214,-0.386401366617218,"used"
74,1,590132.218743608,4732936.58765574,-73.8987689,42.7436541,2011-02-11 18:06:13,"50",110.919509870492,90.2772156858982,"forest",-0.672165151215423,-0.385649755291835,"used"
74,1,590133.859533802,4732936.94225439,-73.8987488,42.7436571,2011-02-11 18:06:13,"50",111.098344780752,90.1433284691434,"forest",-0.670838051057909,-0.386083181392312,"used"
74,1,590133.162947691,4732945.78495605,-73.8987559,42.7437368,2011-02-11 18:06:13,"50",110.314690675235,89.4875491024048,"forest",-0.676653400451129,-0.388206101717255,"used"
74,1,590133.198601811,4732933.01307695,-73.8987575,42.7436218,2011-02-11 18:06:13,"50",111.323838960009,90.4972609357237,"forest",-0.669164701260743,-0.38493741428668,"used"
74,1,590136.959269887,4732920.84511778,-73.8987135,42.7435118,2011-02-11 18:06:13,"50",111.348767487989,91.2238605132269,"forest",-0.668979711353786,-0.382585231388873,"used"
74,1,590133.580514729,4732945.77929761,-73.8987508,42.7437367,2011-02-11 18:06:13,"50",110.362362105605,89.4607450923457,"forest",-0.676299639752724,-0.388292872940369,"used"
74,1,590147.097459347,4732941.89072756,-73.8985863,42.7437001,2011-02-11 18:06:13,"50",111.824712776111,88.8916655721515,"forest",-0.66544781108937,-0.39013512437615,"used"
74,1,590128.172806774,4732912.26741788,-73.8988222,42.7434356,2011-02-11 18:06:13,"50",110.745311411205,92.453683146452,"forest",-0.67345784514426,-0.378603990751288,"used"
74,1,590132.88055007,4732936.68514124,-73.8987608,42.7436549,2011-02-11 18:06:13,"50",110.995389043149,90.2268313729416,"forest",-0.671602066178847,-0.385812861799082,"used"
74,1,590132.569387576,4732934.18214468,-73.898765,42.7436324,2011-02-11 18:06:13,"50",111.150538560032,90.4450691801965,"forest",-0.670450730860736,-0.385106371933448,"used"
